subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,F8,2,0.244827378970193
S1,hybrid-12Hz,hybrid,12,F8,3,0.705448305201622
S1,hybrid-12Hz,hybrid,12,F8,4,0.237657492345346
S1,hybrid-12Hz,hybrid,12,F8,5,0.477866989560104
S1,hybrid-12Hz,hybrid,12,F8,6,0.224993320211968
S1,hybrid-12Hz,hybrid,12,F8,7,0.591776632021548
S1,hybrid-12Hz,hybrid,12,F8,8,0.0262600048613143
S1,hybrid-12Hz,hybrid,12,F8,9,0.0821009536838425
S1,hybrid-12Hz,hybrid,12,F8,10,0.718722436070932
S1,hybrid-12Hz,hybrid,12,F8,11,0.529988444105134
S1,hybrid-12Hz,hybrid,12,F8,12,0.706678232669346
S1,hybrid-12Hz,hybrid,12,F8,13,0.113812657503267
S1,hybrid-12Hz,hybrid,12,F8,14,0.675092300286623
S1,hybrid-12Hz,hybrid,12,F8,15,0.264867008493511
S1,hybrid-12Hz,hybrid,12,F8,16,0.319979801450073
S1,hybrid-12Hz,hybrid,12,F8,17,0.22612438618533
S1,hybrid-12Hz,hybrid,12,F8,18,0.835952354741682
S1,hybrid-12Hz,hybrid,12,F8,19,0.334493173814228
S1,hybrid-12Hz,hybrid,12,F8,20,0.341615548461092
S1,hybrid-12Hz,hybrid,12,F8,21,0.346118671340688
S1,hybrid-12Hz,hybrid,12,F8,22,0.14345801525335
S1,hybrid-12Hz,hybrid,12,F8,23,0.656645240310943
S1,hybrid-12Hz,hybrid,12,F8,24,0.0365223935613918
S1,hybrid-12Hz,hybrid,12,F8,25,0.528346804964579
S1,hybrid-12Hz,hybrid,12,F8,26,0.949851006322372
S1,hybrid-12Hz,hybrid,12,F8,27,0.129479644661405
S1,hybrid-12Hz,hybrid,12,F8,28,0.317863114005863
S1,hybrid-12Hz,hybrid,12,F8,29,0.388280837487147
S1,hybrid-12Hz,hybrid,12,F8,30,0.893435508713648
S1,hybrid-12Hz,hybrid,12,F8,31,0.33721784445717
S1,hybrid-12Hz,hybrid,12,F8,32,0.222932198189497
S1,hybrid-12Hz,hybrid,12,F8,33,0.435092315675666
S1,hybrid-12Hz,hybrid,12,F8,34,0.5866348418648
S1,hybrid-12Hz,hybrid,12,F8,35,0.661940908424952
S1,hybrid-12Hz,hybrid,12,F8,36,0.0541072076330615
S1,hybrid-12Hz,hybrid,12,FC5,1,1.0156484106693
S1,hybrid-12Hz,hybrid,12,FC5,2,0.531658028765551
S1,hybrid-12Hz,hybrid,12,FC5,3,0.986435323998078
S1,hybrid-12Hz,hybrid,12,FC5,4,0.389105998525962
S1,hybrid-12Hz,hybrid,12,FC5,5,0.733294815954942
S1,hybrid-12Hz,hybrid,12,FC5,6,0.129199591553949
S1,hybrid-12Hz,hybrid,12,FC5,7,0.703741478648927
S1,hybrid-12Hz,hybrid,12,FC5,8,0.508840419873498
S1,hybrid-12Hz,hybrid,12,FC5,9,0.416531745294701
S1,hybrid-12Hz,hybrid,12,FC5,10,0.74422774733556
S1,hybrid-12Hz,hybrid,12,FC5,11,0.437768518926472
S1,hybrid-12Hz,hybrid,12,FC5,12,0.42989081840444
S1,hybrid-12Hz,hybrid,12,FC5,13,0.573336715496377
S1,hybrid-12Hz,hybrid,12,FC5,14,0.603179734989842
S1,hybrid-12Hz,hybrid,12,FC5,15,0.611870146984394
S1,hybrid-12Hz,hybrid,12,FC5,16,0.609426595985511
S1,hybrid-12Hz,hybrid,12,FC5,17,0.375780149084882
S1,hybrid-12Hz,hybrid,12,FC5,18,0.736934816113081
S1,hybrid-12Hz,hybrid,12,FC5,19,0.386529356043521
S1,hybrid-12Hz,hybrid,12,FC5,20,0.520264131760565
S1,hybrid-12Hz,hybrid,12,FC5,21,0.669522579145217
S1,hybrid-12Hz,hybrid,12,FC5,22,0.273558437594388
S1,hybrid-12Hz,hybrid,12,FC5,23,0.986168321754753
S1,hybrid-12Hz,hybrid,12,FC5,24,0.396957270511655
S1,hybrid-12Hz,hybrid,12,FC5,25,0.563586400023224
S1,hybrid-12Hz,hybrid,12,FC5,26,0.861846269799684
S1,hybrid-12Hz,hybrid,12,FC5,27,0.422433745659991
S1,hybrid-12Hz,hybrid,12,FC5,28,0.797851344309158
S1,hybrid-12Hz,hybrid,12,FC5,29,0.796298343944387
S1,hybrid-12Hz,hybrid,12,FC5,30,0.839424381032981
S1,hybrid-12Hz,hybrid,12,FC5,31,0.192670775934929
S1,hybrid-12Hz,hybrid,12,FC5,32,0.12089256749516
S1,hybrid-12Hz,hybrid,12,FC5,33,0.556845712204754
S1,hybrid-12Hz,hybrid,12,FC5,34,0.68622790162062
S1,hybrid-12Hz,hybrid,12,FC5,35,0.793674091576247
S1,hybrid-12Hz,hybrid,12,FC5,36,0.137201338970007
S1,hybrid-12Hz,hybrid,12,FC1,1,0.935951810344269
S1,hybrid-12Hz,hybrid,12,FC1,2,0.714320286963965
S1,hybrid-12Hz,hybrid,12,FC1,3,1.51572515177573
S1,hybrid-12Hz,hybrid,12,FC1,4,0.40889131395391
S1,hybrid-12Hz,hybrid,12,FC1,5,1.0703016891121
S1,hybrid-12Hz,hybrid,12,FC1,6,0.0724284032537582
S1,hybrid-12Hz,hybrid,12,FC1,7,1.11589438099232
